Date;Time;Operation Mode;System Status;Flow [m³/h] W1-BF1;Flow [m³/h] W3-BF1 OR HW VFD Speed [Hz];Inlet Pressure [Bar];Outlet Pressure [Bar];Diff. Pressure [Bar];Uv Unit Temperature [°C];Uv-I Sensor [W/m²];Total Lamp Pwr [kW];Calculated [m³];ByPass;Alarm;Flow Limit;Allowed Flow [m³];FullTime
03-02-2023;07:54:59;Ballast;Open Recirculation Valves;0;0;3,76;3,75;0,01;27,9;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:54
03-02-2023;07:55:05;Ballast;Recirculation;0;13;3,79;3,78;0,01;27,9;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:55
03-02-2023;07:55:10;Ballast;Powering Up UV Lamps;0;25;3,78;3,78;0,01;27,9;2;14,491;70,6;System In Line;System Ok;500;35;03-02-2023 07:55
03-02-2023;07:55:16;Ballast;Powering Up UV Lamps;0;25;3,78;3,77;0,01;27,9;4;13,163;70,6;System In Line;System Ok;500;35;03-02-2023 07:55
03-02-2023;07:55:21;Ballast;Powering Up UV Lamps;0;25;3,77;3,76;0,01;27,9;4;13,119;70,6;System In Line;System Ok;500;35;03-02-2023 07:55
03-02-2023;07:55:27;Ballast;Powering Up UV Lamps;0;25;3,77;3,76;0,01;27,9;5;15,602;70,6;System In Line;System Ok;500;35;03-02-2023 07:55
03-02-2023;07:55:32;Ballast;Powering Up UV Lamps;0;25;3,77;3,76;0,01;27,9;9;21,322;70,6;System In Line;System Ok;500;35;03-02-2023 07:55
03-02-2023;07:55:38;Ballast;Powering Up UV Lamps;0;25;3,77;3,76;0,01;27,9;36;33,722;70,6;System In Line;System Ok;500;35;03-02-2023 07:55
03-02-2023;07:55:43;Ballast;Powering Up UV Lamps;0;25;3,77;3,76;0,01;27,8;97;49,331;70,6;System In Line;System Ok;500;35;03-02-2023 07:55
03-02-2023;07:55:49;Ballast;Stop Ballast Pump;0;21;3,76;3,75;0,01;27,8;134;59,455;70,6;System In Line;System Ok;500;35;03-02-2023 07:55
03-02-2023;07:55:54;Ballast;Stop Ballast Pump;0;1;3,76;3,75;0,01;27,8;163;66,457;70,6;System In Line;System Ok;500;47,5;03-02-2023 07:55
03-02-2023;07:56:00;Ballast;Stop Ballast Pump;0;0;3,76;3,75;0,01;28,1;210;71,172;70,6;System In Line;System Ok;500;81,25;03-02-2023 07:56
03-02-2023;07:56:05;Ballast;Stop Ballast Pump;0;0;3,77;3,76;0,01;28,5;240;71,996;70,6;System In Line;System Ok;500;101,875;03-02-2023 07:56
03-02-2023;07:56:11;Ballast;Recirculation;0;12;3,78;3,77;0,01;29;24;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:56
03-02-2023;07:56:16;Ballast;Recirculation;0;24;3,79;3,78;0,01;29,3;2;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:56
03-02-2023;07:56:22;Ballast;Recirculation;0;25;3,79;3,78;0,01;29,5;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:56
03-02-2023;07:56:27;Ballast;Recirculation;0;25;3,79;3,78;0,01;29,7;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:56
03-02-2023;07:56:33;Ballast;Recirculation;0;25;3,8;3,79;0,01;29,7;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:56
03-02-2023;07:56:38;Ballast;Recirculation;0;25;3,79;3,79;0,01;29,7;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:56
03-02-2023;07:56:44;Ballast;Recirculation;0;25;3,8;3,79;0;29,6;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:56
03-02-2023;07:56:49;Ballast;Recirculation;0;25;3,8;3,79;0,01;29,5;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:56
03-02-2023;07:56:55;Ballast;Recirculation;0;25;3,8;3,79;0,01;29,4;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:56
03-02-2023;07:57:00;Ballast;Recirculation;0;25;3,79;3,79;0,01;29,3;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:57
03-02-2023;07:57:06;Ballast;Recirculation;0;25;3,8;3,79;0,01;29,2;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:57
03-02-2023;07:57:11;Ballast;Recirculation;0;25;3,8;3,79;0,01;29,2;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:57
03-02-2023;07:57:17;Ballast;Recirculation;0;25;3,8;3,79;0,01;29,2;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:57
03-02-2023;07:57:22;Ballast;Recirculation;0;25;3,8;3,79;0,01;29,2;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:57
03-02-2023;07:57:28;Ballast;Recirculation;0;25;3,8;3,79;0,01;29,1;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:57
03-02-2023;07:57:33;Ballast;Recirculation;0;25;3,79;3,79;0,01;29,1;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:57
03-02-2023;07:57:39;Ballast;Recirculation;0;25;3,8;3,79;0,01;29,1;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:57
03-02-2023;07:57:44;Ballast;Recirculation;0;25;3,8;3,79;0,01;29,1;1;0;70,6;System In Line;System Ok;500;35;03-02-2023 07:57
